Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Source_Station,Log_Date,Hour_Of_Day,Total_Time_Hours,Availability (%),Is_High_CPU,Is_High_Memory,Is_High_Disk_IO,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone
Station1_LOG00023,SRV094,CL-8,2025-08-01 02:22:00,79.66,71.04,40.72,18.96,14.48,695.5,8.79,Station1,2025-08-01,2,704.29,98.75193457240627,False,False,False,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00024,SRV056,CL-4,2025-08-01 10:38:00,23.52,54.28,39.85,28.84,21.98,949.75,1.95,Station1,2025-08-01,10,951.7,99.79510349900178,False,False,False,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00025,SRV084,CL-9,2025-08-01 17:37:00,56.46,85.97,67.35,29.03,2.94,996.11,3.65,Station1,2025-08-01,17,999.76,99.63491237897095,False,True,False,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00026,SRV070,CL-1,2025-08-01 19:56:00,51.64,33.77,9.36,4.08,24.31,390.32,8.82,Station1,2025-08-01,19,399.14,97.79024903542617,False,False,False,host-070,10.0.46.35,Linux,Singapore,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00027,SRV041,CL-10,2025-08-01 14:24:00,16.68,29.11,35.795,9.6,15.83,942.46,0.6,Station1,2025-08-01,14,943.0600000000001,99.93637732487859,False,False,False,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00028,SRV097,CL-3,2025-08-02 14:09:00,22.94,57.61,72.63,26.89,1.75,286.72,7.76,Station1,2025-08-02,14,294.48,97.36484650910079,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00029,SRV097,CL-3,2025-08-02 20:50:00,13.77,66.45,12.54,1.67,21.44,315.56,9.14,Station1,2025-08-02,20,324.7,97.18509393286111,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00030,SRV010,CL-4,2025-08-02 21:57:00,26.34,46.75,21.02,20.88,14.46,462.45,7.04,Station1,2025-08-02,21,469.49,98.50050054314255,False,False,False,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00031,SRV050,CL-1,2025-08-01 11:31:00,73.7,61.13,9.75,7.73,10.12,121.22,7.22,Station1,2025-08-01,11,128.44,94.37869822485207,False,False,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00032,SRV050,CL-1,2025-08-02 20:11:00,12.96,22.55,47.265,7.81,13.85,956.93,0.79,Station1,2025-08-02,20,957.7199999999999,99.91751242534352,False,False,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00033,SRV032,CL-4,2025-08-01 23:09:00,94.33,86.09,6.42,24.5,8.71,175.52,4.01,Station1,2025-08-01,23,179.53,97.76639001838133,True,True,False,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00034,SRV026,CL-2,2025-08-02 19:00:00,52.48,36.36,50.47,5.17,4.15,716.15,4.0,Station1,2025-08-02,19,720.15,99.44456016107756,False,False,False,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00035,SRV041,CL-10,2025-08-02 07:08:00,66.78,34.18,52.54,8.57,13.42,967.49,9.14,Station1,2025-08-02,7,976.63,99.06412868742513,False,False,False,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00036,SRV067,CL-5,2025-08-01 06:04:00,21.8,77.86,41.94,12.73,19.15,662.34,5.21,Station1,2025-08-01,6,667.5500000000001,99.21953411729459,False,False,False,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00037,SRV035,CL-6,2025-08-02 05:07:00,54.41,86.14,6.0,25.69,5.6,939.05,4.97,Station1,2025-08-02,5,944.02,99.47352810321814,False,True,False,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00038,SRV043,CL-8,2025-08-01 11:01:00,38.5,79.03,63.02,3.23,8.65,193.11,2.06,Station1,2025-08-01,11,195.17000000000002,98.94450991443357,False,False,False,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00039,SRV043,CL-8,2025-08-02 04:15:00,79.79,77.36,14.33,1.3,21.33,679.94,6.58,Station1,2025-08-02,4,686.5200000000001,99.04154285381343,False,False,False,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00040,SRV082,CL-10,2025-08-01 17:38:00,41.26,50.29,31.04,21.96,4.52,618.71,0.48,Station1,2025-08-01,17,619.19,99.92247936820685,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00041,SRV035,CL-6,2025-08-01 14:55:00,48.42,47.29,5.71,7.86,5.33,133.36,3.89,Station1,2025-08-01,14,137.25,97.16575591985429,False,False,False,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00042,SRV011,CL-7,2025-08-01 20:34:00,69.11,53.03,40.93,27.66,20.9,505.97,1.36,Station1,2025-08-01,20,507.33000000000004,99.73192990755524,False,False,False,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00043,SRV048,CL-9,2025-08-01 10:07:00,38.84,51.4,17.71,24.53,0.81,318.05,4.57,Station1,2025-08-01,10,322.62,98.5834728163164,False,False,False,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00044,SRV082,CL-10,2025-08-01 22:34:00,54.02,62.73,56.77,20.54,7.41,571.59,5.73,Station1,2025-08-01,22,577.32,99.00748285179796,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00045,SRV097,CL-3,2025-08-01 15:06:00,22.87,59.525000000000006,47.73,20.29,11.57,955.94,4.25,Station1,2025-08-01,15,960.19,99.5573792686864,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00046,SRV074,CL-3,2025-08-02 03:45:00,18.01,62.41,28.88,0.97,6.98,230.74,4.48,Station1,2025-08-02,3,235.22,98.09540005101609,False,False,False,host-074,10.0.246.17,Windows,New York,Hannah,CL-3,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00047,SRV082,CL-10,2025-08-01 21:25:00,81.47,71.39,63.97,18.09,6.12,520.48,9.62,Station1,2025-08-01,21,530.1,98.18524806640256,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00048,SRV012,CL-3,2025-08-01 02:33:00,84.35,63.6,71.62,24.14,22.31,800.49,6.02,Station1,2025-08-01,2,806.51,99.25357404123942,False,False,False,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00049,SRV014,CL-10,2025-08-01 10:53:00,17.97,32.59,64.67,23.8,17.18,909.97,0.48,Station1,2025-08-01,10,910.45,99.94727881816684,False,False,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00050,SRV011,CL-7,2025-08-02 23:15:00,40.0,59.04,47.33,18.3,14.56,386.62,1.81,Station1,2025-08-02,23,388.43,99.53402157402878,False,False,False,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00051,SRV050,CL-1,2025-08-01 03:49:00,86.23,48.865,46.29,5.01,7.45,323.45,0.49,Station1,2025-08-01,3,323.94,99.84873742050996,True,False,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00052,SRV023,CL-1,2025-08-01 01:07:00,83.34,50.7,19.88,8.03,21.64,931.27,2.5,Station1,2025-08-01,1,933.77,99.7322681174165,False,False,False,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00053,SRV020,CL-9,2025-08-02 08:30:00,32.0,57.22,22.94,15.91,3.81,932.23,8.22,Station1,2025-08-02,8,940.45,99.12595034292094,False,False,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00054,SRV014,CL-10,2025-08-02 22:15:00,30.43,20.54,22.21,2.34,18.77,521.85,2.8,Station1,2025-08-02,22,524.65,99.46631087391596,False,False,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00055,SRV001,CL-8,2025-08-01 10:03:00,45.17,59.13,54.21,2.35,11.64,307.03,9.14,Station1,2025-08-01,10,316.16999999999996,97.10915014074708,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00056,SRV048,CL-9,2025-08-02 22:59:00,58.01,63.79,20.84,14.46,4.67,899.03,1.55,Station1,2025-08-02,22,900.5799999999999,99.82788869395279,False,False,False,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00057,SRV028,CL-2,2025-08-02 18:08:00,23.22,33.61,35.78,3.81,2.63,508.24,3.98,Station1,2025-08-02,18,512.22,99.2229901214322,False,False,False,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00058,SRV077,CL-1,2025-08-01 09:51:00,91.01,77.01,76.93,20.85,6.33,823.64,8.97,Station1,2025-08-01,9,832.61,98.92266487310985,True,False,False,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00059,SRV082,CL-10,2025-08-01 01:15:00,78.93,25.08,38.84,19.5,13.49,367.89,1.47,Station1,2025-08-01,1,369.36,99.60201429499675,False,False,False,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00060,SRV050,CL-1,2025-08-02 22:32:00,84.36,28.7,75.04,26.84,18.78,124.85,0.7,Station1,2025-08-02,22,125.55,99.44245320589407,False,False,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00061,SRV029,CL-2,2025-08-01 10:55:00,31.83,32.48,42.3,13.06,12.32,549.39,9.28,Station1,2025-08-01,10,558.67,98.33891205899727,False,False,False,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00062,SRV078,CL-1,2025-08-02 04:01:00,11.1,39.73,50.78,6.52,17.16,508.43,6.37,Station1,2025-08-02,4,514.8,98.76262626262627,False,False,False,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00063,SRV027,CL-7,2025-08-01 05:11:00,56.21,44.83,61.32,23.62,4.63,671.06,6.83,Station1,2025-08-01,5,677.89,98.9924619038487,False,False,False,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00064,SRV045,CL-2,2025-08-02 19:51:00,12.44,61.0,50.5,23.16,24.24,776.32,7.3,Station1,2025-08-02,19,783.62,99.06842602281719,False,False,False,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00065,SRV063,CL-10,2025-08-01 00:34:00,50.26,76.1,14.44,3.25,13.32,606.7,8.38,Station1,2025-08-01,0,615.08,98.63757559992197,False,False,False,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00066,SRV014,CL-10,2025-08-02 09:59:00,77.96,88.04,74.86,7.85,14.09,395.38,4.88,Station1,2025-08-02,9,400.26,98.78079248488483,False,True,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00067,SRV027,CL-7,2025-08-01 20:13:00,22.67,28.7,71.97,14.78,2.03,513.87,6.68,Station1,2025-08-01,20,520.55,98.71674190759774,False,False,False,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00068,SRV040,CL-6,2025-08-02 10:53:00,40.92,31.2,22.55,21.94,18.74,733.59,0.22,Station1,2025-08-02,10,733.8100000000001,99.97001948733323,False,False,False,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00069,SRV023,CL-1,2025-08-02 23:40:00,63.88,21.13,19.1,23.9,13.95,499.99,8.19,Station1,2025-08-02,23,508.18,98.38836632689205,False,False,False,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00070,SRV031,CL-7,2025-08-01 12:52:00,53.06,61.87,44.3,10.54,9.45,241.21,9.73,Station1,2025-08-01,12,250.94,96.12257910257432,False,False,False,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00071,SRV084,CL-9,2025-08-02 14:32:00,38.4,27.48,15.25,28.45,16.69,799.09,3.7,Station1,2025-08-02,14,802.7900000000001,99.5391073630713,False,False,False,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00072,SRV073,CL-3,2025-08-01 13:54:00,49.5,63.37,9.18,1.95,6.6,887.46,0.05,Station1,2025-08-01,13,887.51,99.99436626066186,False,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00073,SRV091,CL-2,2025-08-01 07:25:00,74.79,57.79,79.92,5.95,21.4,304.79,3.22,Station1,2025-08-01,7,308.01000000000005,98.95457939677283,False,False,False,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00074,SRV032,CL-4,2025-08-02 12:04:00,89.44,26.08,31.89,14.13,16.64,656.8,3.7,Station1,2025-08-02,12,660.5,99.43981831945496,True,False,False,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00075,SRV048,CL-9,2025-08-02 20:39:00,71.07,27.57,61.6,9.45,20.96,668.99,0.73,Station1,2025-08-02,20,669.72,99.89099922355611,False,False,False,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00076,SRV066,CL-9,2025-08-01 20:24:00,68.11,88.93,47.83,9.31,2.49,524.22,0.15,Station1,2025-08-01,20,524.37,99.971394244522,False,True,False,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00077,SRV056,CL-4,2025-08-01 09:26:00,41.55,30.18,63.53,1.46,3.74,521.52,5.4,Station1,2025-08-01,9,526.92,98.97517649738101,False,False,False,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00078,SRV005,CL-3,2025-08-02 18:49:00,40.05,70.27,73.56,5.66,18.06,138.34,0.5,Station1,2025-08-02,18,138.84,99.63987323537886,False,False,False,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00079,SRV081,CL-4,2025-08-02 18:10:00,61.88,60.47,21.65,4.39,17.93,473.26,3.09,Station1,2025-08-02,18,476.34999999999997,99.3513173087016,False,False,False,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00080,SRV008,CL-1,2025-08-02 12:24:00,78.39,48.66,49.95,2.0,6.76,968.21,7.93,Station1,2025-08-02,12,976.14,99.18761653041572,False,False,False,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00081,SRV054,CL-9,2025-08-01 11:11:00,35.23,74.04,25.01,13.43,10.45,560.85,6.54,Station1,2025-08-01,11,567.39,98.8473536720774,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00082,SRV077,CL-1,2025-08-02 15:07:00,82.86,22.41,41.4,13.41,23.08,459.66,9.1,Station1,2025-08-02,15,468.76000000000005,98.05870808089428,False,False,False,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00083,SRV073,CL-3,2025-08-01 16:08:00,87.94,56.92,15.65,26.71,1.03,208.72,0.32,Station1,2025-08-01,16,209.04,99.84691924990433,True,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00084,SRV078,CL-1,2025-08-02 00:24:00,62.8,68.46,28.52,17.89,13.55,637.38,2.31,Station1,2025-08-02,0,639.6899999999999,99.63888758617456,False,False,False,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00085,SRV046,CL-7,2025-08-01 11:03:00,44.54,87.98,66.53,16.71,12.26,347.43,8.6,Station1,2025-08-01,11,356.03000000000003,97.584473218549,False,True,False,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00086,SRV016,CL-2,2025-08-02 02:51:00,59.26,22.47,59.39,16.94,1.8,589.54,6.83,Station1,2025-08-02,2,596.37,98.85473783054144,False,False,False,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00087,SRV094,CL-8,2025-08-02 05:02:00,75.4,24.75,70.36,9.52,11.63,959.66,2.8,Station1,2025-08-02,5,962.4599999999999,99.70907881886001,False,False,False,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00088,SRV008,CL-1,2025-08-02 22:44:00,66.0,41.15,44.91,2.18,13.36,768.04,0.36,Station1,2025-08-02,22,768.4,99.95314940135346,False,False,False,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00089,SRV032,CL-4,2025-08-01 11:20:00,39.67,25.42,70.11,19.26,10.34,981.16,1.96,Station1,2025-08-01,11,983.12,99.80063471397183,False,False,False,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00090,SRV066,CL-9,2025-08-02 07:37:00,36.91,75.14,6.62,11.99,2.69,365.47,7.05,Station1,2025-08-02,7,372.52000000000004,98.10748416192419,False,False,False,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00091,SRV034,CL-6,2025-08-01 06:55:00,60.36,50.0,51.27,6.31,20.47,558.02,5.95,Station1,2025-08-01,6,563.97,98.94497934287284,False,False,False,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00092,SRV034,CL-6,2025-08-01 15:43:00,75.83,63.02,14.92,26.54,15.15,490.92,3.44,Station1,2025-08-01,15,494.36,99.30415082126386,False,False,False,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00093,SRV014,CL-10,2025-08-02 07:21:00,85.95,26.79,35.61,18.72,14.45,777.27,3.96,Station1,2025-08-02,7,781.23,99.49310702353979,True,False,False,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591
